interval,Nigeria,Ethiopia,Kenya,South Africa,Africa,Uganda
1950-1955,6.3544,7.1696,7.481,6.3,6.599478645,6.9
1955-1960,6.3544,6.9023,7.785,6.2,6.640245162,6.95
1960-1965,6.3544,6.8972,8.065,6.1,6.702031654,7.05
1965-1970,6.3544,6.8691,8.11,5.7,6.67112278,7.12
1970-1975,6.6094,7.1038,7.99,5.47,6.667982293,7.1
1975-1980,6.7629,7.1838,7.64,5,6.623256138,7.1
1980-1985,6.7559,7.4247,7.216,4.556,6.476661839,7.1
1985-1990,6.6035,7.3673,6.538,4,6.197498556,7.1
1990-1995,6.3697,7.0888,5.566,3.343,5.734299566,7.063
1995-2000,6.1703,6.8335,5.072,2.954,5.35145891,6.946
2000-2005,6.0512,6.131,5,2.802,5.100902873,6.745
2005-2010,5.91,5.258,4.8,2.55,4.889899708,6.38
2010-2015,5.74,4.5889,4.4371,2.4037,4.712369462,5.9126
